./crack-identify/Denoising_verify_images\103-out_ori.jpg: Predicted: 1, True label: 0
./crack-identify/Denoising_verify_images\105-out_ori.jpg: Predicted: 0, True label: 0
./crack-identify/Denoising_verify_images\108-out_ori.jpg: Predicted: 0, True label: 0
./crack-identify/Denoising_verify_images\112-out_ori.jpg: Predicted: 0, True label: 0
./crack-identify/Denoising_verify_images\114-out_ori.jpg: Predicted: 0, True label: 0
./crack-identify/Denoising_verify_images\116-out_ori.jpg: Predicted: 0, True label: 0
./crack-identify/Denoising_verify_images\120-out_ori.jpg: Predicted: 0, True label: 0
./crack-identify/Denoising_verify_images\127-out_ori.jpg: Predicted: 0, True label: 0
./crack-identify/Denoising_verify_images\13-out_ori.jpg: Predicted: 1, True label: 1
./crack-identify/Denoising_verify_images\147-out_ori.jpg: Predicted: 1, True label: 1
./crack-identify/Denoising_verify_images\15-out_ori.jpg: Predicted: 0, True label: 0
./crack-identify/Denoising_verify_images\170-out_ori.jpg: Predicted: 1, True label: 0
./crack-identify/Denoising_verify_images\184-out_ori.jpg: Predicted: 1, True label: 0
./crack-identify/Denoising_verify_images\19-out_ori.jpg: Predicted: 1, True label: 0
./crack-identify/Denoising_verify_images\19716-out_ori.jpg: Predicted: 0, True label: 0
./crack-identify/Denoising_verify_images\19726-out_ori.jpg: Predicted: 0, True label: 1
./crack-identify/Denoising_verify_images\19732-out_ori.jpg: Predicted: 0, True label: 0
./crack-identify/Denoising_verify_images\19745-out_ori.jpg: Predicted: 0, True label: 0
./crack-identify/Denoising_verify_images\19746-out_ori.jpg: Predicted: 1, True label: 1
./crack-identify/Denoising_verify_images\19751-out_ori.jpg: Predicted: 0, True label: 1
./crack-identify/Denoising_verify_images\19757-out_ori.jpg: Predicted: 1, True label: 1
./crack-identify/Denoising_verify_images\19783-out_ori.jpg: Predicted: 0, True label: 0
./crack-identify/Denoising_verify_images\19816-out_ori.jpg: Predicted: 0, True label: 1
./crack-identify/Denoising_verify_images\19832-out_ori.jpg: Predicted: 0, True label: 0
./crack-identify/Denoising_verify_images\19854-out_ori.jpg: Predicted: 0, True label: 0
./crack-identify/Denoising_verify_images\19883-out_ori.jpg: Predicted: 1, True label: 1
./crack-identify/Denoising_verify_images\19884-out_ori.jpg: Predicted: 0, True label: 1
./crack-identify/Denoising_verify_images\19916-out_ori.jpg: Predicted: 1, True label: 0
./crack-identify/Denoising_verify_images\19945-out_ori.jpg: Predicted: 0, True label: 0
./crack-identify/Denoising_verify_images\19951-out_ori.jpg: Predicted: 0, True label: 0
./crack-identify/Denoising_verify_images\19952-out_ori.jpg: Predicted: 0, True label: 0
./crack-identify/Denoising_verify_images\19977-out_ori.jpg: Predicted: 0, True label: 0
./crack-identify/Denoising_verify_images\19979-out_ori.jpg: Predicted: 0, True label: 0
./crack-identify/Denoising_verify_images\19986-out_ori.jpg: Predicted: 0, True label: 0
./crack-identify/Denoising_verify_images\19989-out_ori.jpg: Predicted: 0, True label: 0
./crack-identify/Denoising_verify_images\20000-out_ori.jpg: Predicted: 0, True label: 0
./crack-identify/Denoising_verify_images\20020-out_ori.jpg: Predicted: 0, True label: 0
./crack-identify/Denoising_verify_images\20024-out_ori.jpg: Predicted: 0, True label: 0
./crack-identify/Denoising_verify_images\20035-out_ori.jpg: Predicted: 1, True label: 0
./crack-identify/Denoising_verify_images\20039-out_ori.jpg: Predicted: 0, True label: 0
./crack-identify/Denoising_verify_images\20053-out_ori.jpg: Predicted: 0, True label: 1
./crack-identify/Denoising_verify_images\20083-out_ori.jpg: Predicted: 1, True label: 1
./crack-identify/Denoising_verify_images\20085-out_ori.jpg: Predicted: 0, True label: 0
./crack-identify/Denoising_verify_images\20095-out_ori.jpg: Predicted: 0, True label: 0
